url,score,label,rule_score,ml_score,ml_confidence,policy_weight,signals
https://auth-securedfileshare.vercel.app/,63,red,10,98,0.9751,0.6,suspicious_tokens
http://danaa-id.official-resmi.top/,67,red,20,98,0.9832,0.6,suspicious_tld
https://keepo.io/sdsdeed/,52,yellow,0,86,0.8634,0.6,
http://geminilogunb.godaddysites.com/,60,yellow,8,94,0.9433,0.6,high_entropy_host
https://loathsomeguy.github.io/instaphish/,52,yellow,0,87,0.8713,0.6,
https://bridge--ttrezzorr.webflow.io/,58,yellow,0,96,0.9635,0.6,
https://trezor-iost.webflow.io/,52,yellow,0,87,0.8741,0.6,
https://portal---app---ndax-io--cdn-h.webflow.io/,59,yellow,0,99,0.9889,0.6,
http://auth--m--ledger--sso.webflow.io/,62,red,8,98,0.9806,0.6,high_entropy_host
http://trezorrio-auth.webflow.io/,54,yellow,0,90,0.8972,0.6,
https://auth-app---crypto-sso--web-ced-cdn.webflow.io/,63,red,8,99,0.9897,0.6,high_entropy_host
http://hub-ledgr--support.webflow.io/,60,yellow,8,94,0.9432,0.6,high_entropy_host
https://logon----app--ledgelive.webflow.io/,50,yellow,0,84,0.8407,0.6,
https://auths-sso-coinbasepros-cdn-cdn.webflow.io/,71,red,28,99,0.9933,0.6,high_entropy_host;typosquat
http://uyty678.weebly.com/,56,yellow,0,93,0.9277,0.6,
http://ledgrecom--starts.webflow.io/,59,yellow,8,93,0.9341,0.6,high_entropy_host
http://metagalaxy.pages.dev/,50,yellow,0,84,0.8391,0.6,
http://dheo96.github.io/,47,yellow,0,79,0.7855,0.6,
http://sso-ndax--cdn---autth.webflow.io/,57,yellow,8,89,0.8926,0.6,high_entropy_host
http://oreg-start-leadger.webflow.io/,56,yellow,0,94,0.9436,0.6,
http://terzzorstart--learn.webflow.io/,59,yellow,0,99,0.9879,0.6,
http://auth---m-start--trezor--in.webflow.io/,61,red,8,97,0.9713,0.6,high_entropy_host
http://trzorio-start.webflow.io/,53,yellow,0,89,0.8949,0.6,
http://docs-en-us-trezor.webflow.io/,58,yellow,8,91,0.9143,0.6,high_entropy_host
http://secur--suite-sso-trozor.webflow.io/,59,yellow,0,99,0.9864,0.6,
https://trezaerwallet.webflow.io/,60,yellow,10,93,0.9294,0.6,suspicious_tokens
http://servicio-suscripcion.web.app/,56,yellow,0,94,0.9406,0.6,
https://tyirezorwallet.webflow.io/,60,yellow,10,93,0.9296,0.6,suspicious_tokens
http://bafybeiez5olqzw5oq2hfi3dmo3nnz4y6iox6gz7774rud4o2sp6uh43pxe.ipfs.dweb.link/,74,red,36,100,0.9977,0.6,suspicious_tld;long_url;high_entropy_host
https://hardware-trezor-cdn-help.webflow.io/,62,red,8,98,0.9781,0.6,high_entropy_host
http://app-app-ndax--auth.webflow.io/,60,yellow,8,95,0.9537,0.6,high_entropy_host
http://2gewf232.blogspot.com.au/,46,yellow,8,72,0.7228,0.6,high_entropy_host
https://auth-app-trezwer.webflow.io/,58,yellow,8,91,0.9113,0.6,high_entropy_host
http://support-trerzeoor.webflow.io/,57,yellow,0,95,0.9476,0.6,
http://layanana-dana.claim.my.id/,52,yellow,0,86,0.8591,0.6,
http://app--secure-sso--blockfi--cdn.webflow.io/,67,red,18,100,0.9967,0.6,suspicious_tokens;high_entropy_host
http://portal-sso-ndax-nav-c-cdn-auth.webflow.io/,63,red,8,99,0.9863,0.6,high_entropy_host
http://modepro.pages.dev/,47,yellow,0,79,0.7918,0.6,
http://m-cx-start-ttrezor.webflow.io/,59,yellow,8,93,0.9305,0.6,high_entropy_host
